"","id","condition","messageHow","messageRules","total_points","age","sex","engagement","difficulty","feedback","date","time","duration"
"1",3,"easy","Try to get the purple crystals as getting higher tier crystals is exponentially better ","Merge with the same shape",100110,27,"male",8,3,"no","2025_01_22","11_22_50",246
"2",5,"easy","just continue too pair up the red shapes with the ones you create too make purple ","start with one shape at a time and pair up all the same shapes first, for example the squares, once you get too purple colour cash it in for points, continue to do that with all the other shapes ",400013,34,"female",9,5,"thoroughly enjoyed","2025_01_22","11_23_25",564
"3",12,"medium","use arrows to cotrol the game ","using space bar to combine or fuse items",124,30,"male",9,2,"i enjoyed the game i wish it was long.","2025_01_22","13_29_37",566
"4",21,"medium","Do not mindlessly click, try and figure out a pattern of what combines first. It is simpler than you think - if two shapes mix, keep mixing the new crystal with the same shape to create new colours!","If you combine two shapes together and keep combing them, you move up in the crystal points rank",200021,21,"female",9,6,"-","2025_01_22","11_39_18",310
"5",24,"medium","Remember to drop off your colours (if its a good one) pressing space before you try and merge again, its very possible to go backwards in colour tiers I think so you can potentially lose points rather than accidentally merge into a lower colour. Always check out the hints for each block at the top, you can plan your moves this way before randomly trying to find out what works best. ","I could not find any rules/patterns, everything seemed fairly random. ",101015,32,"male",9,7,"Fun! :D","2025_01_22","11_41_20",389
"6",32,"easy","Long space adds extra points","Long spacing",1133,35,"female",9,10,"It was hard to grasp what to do in the beginning but I feel like I got the hang of it.","2025_01_22","11_42_16",412
"7",47,"easy","Gems of the same shape merge to make new gems.  Colour and pattern doesn't seem to matter.","Merging gems of the same shape produced new gems.  Attempting to merge gems of differing shapes failed every time in my trials.",400031,44,"male",7,2,"It sounded as though movement would count as an action in the instructions but it did not in the actual game.  This should probably be clarified.","2025_01_22","11_46_05",495
"8",64,"medium","When you find a combination of two objects, make note of the pattern inside the newly created object, fuse the new object (the one that you're holding) with the same shaped object that allowed you to create the new object, but with a different pattern than the new object.","I noticed that the pattern on the inside of the object that is combined with the held object is retained when combining, while the held object's shape was retained when combining.",200002,25,"male",9,8,"No comments.","2025_01_22","06_49_23",880
"9",85,"easy","Combine the same shapes and collect all the same shapes until they are finished. Don't rush to drop a shape because new ones of the same type may pop up. When finished with a certain set of shapes, be sure to drop the one you are holding, then pick up another one and repeat the same pattern. Never mix two different shapes.","When you mix different shapes, you get an error, but mixing the same shape can give you a new shape and color and therefore points, depending on the patterns on the shapes that you mixed.",111143,28,"female",10,3,"The instructions could be a lot more understandable if they included a practice game before beginning the actual game.","2025_01_22","13_60_26",1445
"10",87,"medium","I have no idea what i waws doing. Guess game","I tried to match ",11001,55,"female",7,10,"no","2025_01_22","14_02_21",1681
"11",97,"medium","The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa. Following this, choose a figure to start with and start matching with its geometric partner that has a different color or pattern. 
Example: I start with a square of stripes and combine it with a plain circle. Imagine that a plain square with different colour turns out, which I will combine with another circle with dots. And so on. When you can't combine more drop for later or collect depending on the moves you have left.","You can combine with colors or patterns that are different.
The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa. ",110120,61,"male",10,6,"Nothing to add thank you","2025_01_22","13_39_46",NA
"12",100,"medium","Pick a crystal up and merge it with other crystals.","I was seeing different colors in the crystals and seeing how valuable they was.",10102,25,"male",10,8,"This task was fun!","2025_01_22","09_28_16",360
"13",101,"easy","Match alike shapes with different shades each transition","alike shapes lead to better values",310100,38,"male",10,1,"none","2025_01_22","09_28_30",377
"14",104,"easy","Pick the same shapes for the recipes. Be aware that some colour/patterns for the shapes can't fuse.","Shapes had to be the same for the recipes to fuse. Certain colours/patterns will not fuse.",100000,41,"male",10,5,"This was a pretty fun and neat experiment. Id love to participate more on these types of experiments.","2025_01_22","09_31_05",431
"15",108,"easy","Form seems to be a determinant factor for the capacity of fusion (triangle fuses with triangle, etc.).","Form seems to be more important than the pattern.",400023,42,"male",7,6,"No.","2025_01_22","15_35_32",773
"16",111,"easy","I had none, just went with my gut.","I didn't notice any patterns.",124,26,"male",8,1,"This was very fun.","2025_01_22","16_39_51",665
"17",114,"easy","I suggest fusing together all the ones of the same shape (e.g. triangles) but not if you've already fused one with the same pattern. So you could fuse a plain triangle and a dotty triangle and a triangle with a checked pattern, but then don't fuse another dotty triangle after that. This technique worked every single time except once.","You can usually fuse together objects of the same shape, but you can't repeat objects with the same pattern. So you can't fuse a plain triangle, then a dotty triangle, then a plain triangle, for example. But you could fuse a plain triangle, then a dotty triangle, then a checked triangle, and so on.",211140,37,"female",9,7,NA,"2025_01_22","14_39_19",947
"18",116,"medium","Never go with two similar shaped crystals. combining different shapes might help to fuse. After you fuse it. Take it and harvest it in an empty space. ","I didn't notice any pattern but I believe it never fuses when you try to combine two similar shaped crystals.",48,37,"male",10,1,"It is an interesting task. Thank you.","2025_01_22","15_40_07",957
"19",118,"medium","Can combine different colors together. Unsure of whether can fuse same shapes as I was unsuccessful. Checkered shapes can be combined with near full (checkered) shapes. The combined shape will combined properties, one of each shape (not color). Pressing spacebar will consume the item on an empty space, so make sure to press D to drop and not waste points!","Combined shapes retain properties of each items, the first item will be the shape, the pattern of the second. And colors do not have to be the same to be combined.",221,36,"male",5,5,"Wish there were additional rounds as I was noticing patterns too late and committed several mistakes such as using an item when I meant to drop it! I thought it was enjoyable just wish I could be more invested as I felt I could have done better. And I would have liked it if the result list wasnt simply a column but more of a spreadsheet so you can see it all at once (and the ability to sort to find it easier to see any pattern).","2025_01_22","15_43_26",1193
"20",120,"medium","I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying. I didn't notice any patterns between the different shadings of shapes only the actual shapes themselves. Once you get a purple gem don't forget to bank it as any other combinations won't increase value!","Triangle + Diamond (can keep stacking more diamonds)
Square + Circle (again keep stacking circles)
REMEMBER to pick up in the order stated (not sure what'll happen the opposite way)
",200213,28,"male",10,6,NA,"2025_01_22","14_51_41",1349
"21",251,"hard","I tried to recreate the same combinations","similar seemed to make a higher score",110,42,"male",7,7,"none","2026_03_03","11_29_45",234132
"22",252,"hard","its all a bit random but circles seem to do better","a did not spot much at all",58,53,"male",7,8,"no","2026_03_03","11_33_05",399270
"23",253,"hard","Striped triangle and striped diamond make an orange striped triangle","Both shapes had the same pattern",26,48,"female",10,9,"No comments","2026_03_03","11_33_45",473518
"24",254,"hard","watch the gains on the right side panel and work from them","I was acting too quickly to really notice. ",0,52,"male",5,0,"none","2026_03_03","11_34_09",493954
"25",255,"hard","was just picking randomly","didnt notice any pattern",0,31,"male",10,8,"no","2026_03_03","11_35_33",575288
"26",256,"hard","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.","Diamonds and triangles go together. Circles and squares go together",110301,32,"female",10,7,"No","2026_03_03","11_44_33",1128881
"27",257,"hard","I matched the fuse together priortizing the high values first.","Fusing the only identical shapes",26,29,"female",10,10,"No","2026_03_03","11_45_50",1194780
"28",258,"hard","Ensure to notice each crystals combination that generates points in previous periods of picking up crystals, fusing and harvesting which would assist in earning more energy points eventually. However, every points is worth it throughout the overall moves.","There are each crystal that matches the other which assisted me in picking a present crystal, fuse and harvest crystals for energy points. hence, I used my previous pattern to guauge on present which in turns assisted me in combining the perfect crystals for energy points earnings",92,33,"noresponse",9,4,"Its an interesting study","2026_03_03","12_07_49",2449485
"29",259,"hard","Take a look around the board first to ensure you know where each gem is before starting. ","I didn't find a pattern that was easy ",21,29,"female",5,9,"No comment. ","2026_03_03","12_26_10",354281
"30",260,"hard","I can't really suggest any tips or strategies as I didn't really understand the game","You have to harvested crystals
move spaces by using arrow keys
pick up crystals using spacebar
to fuse crystals hold a crystal on top of another and press spacebar
To harvest crystals press spacebar. This means you can earn energy points
To drop crystals press D",1,48,"male",8,10,"I think that I read the instructions well and paid attention however I didnt understand what I was suppose to do and if I was playing the game correctly","2026_03_03","12_27_20",823780
