"","sub_id","msg_id","msg_from","note_text","saved_at","msg_rank","condition","total_points","log_total_points"
"1",5,11,"Player #1","Diamonds and triangles go together. Circles and squares go together","2026-04-14T08:32:08Z",1,"hard",11000,9.30574145673943
"2",6,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.","2026-04-14T08:32:15Z",1,"hard",23015,10.0439449052314
"3",6,11,"Player #1","Fusion rules & patterns:\n\nDiamonds and triangles go together. Circles and squares go together","2026-04-14T08:32:20Z",1,"hard",23015,10.0439449052314
"4",7,22,"Player #2","If you combine two shapes together and keep combing them, you move up in the crystal points rank","2026-04-14T08:32:56Z",2,"medium",1000,6.90875477931522
"5",8,3,"Player #3","just continue too pair up the red shapes with the ones you create too make purple","2026-04-14T08:32:17Z",3,"easy",100010,11.5130354589207
"6",9,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.","2026-04-14T08:33:24Z",1,"hard",4,1.6094379124341
"7",9,11,"Player #1","Diamonds and triangles go together. Circles and squares go together","2026-04-14T08:33:45Z",1,"hard",4,1.6094379124341
"8",10,11,"Player #1","Diamonds and triangles go together. Circles and squares go together","2026-04-14T08:32:53Z",1,"hard",110000,11.6082447356423
"9",11,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.","2026-04-14T08:33:41Z",1,"hard",11053,9.31054763239321
"10",12,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.\nFusion rules & patterns:\n\nDiamonds and triangles go together. Circles and squares go together","2026-04-14T08:33:14Z",1,"hard",10010,9.21143976741948
"11",13,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.","2026-04-14T08:34:43Z",1,"hard",1213,7.10167597161944
"12",14,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest.","2026-04-14T08:33:48Z",1,"hard",1021,6.92951677076365
"13",15,21,"Player #1","I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying.","2026-04-14T08:37:02Z",1,"medium",101,4.62497281328427
"14",16,1,"Player #1","Gems of the same shape merge to make new gems. Colour and pattern doesn't seem to matter.","2026-04-14T08:36:19Z",1,"easy",152,5.03043792139244
"15",16,2,"Player #2","Form seems to be a determinant factor for the capacity of fusion (triangle fuses with triangle, etc.).","2026-04-14T08:36:26Z",2,"easy",152,5.03043792139244
"16",16,3,"Player #3","just continue too pair up the red shapes with the ones you create too make purple","2026-04-14T08:36:38Z",3,"easy",152,5.03043792139244
"17",16,4,"Player #4","Match alike shapes with different shades each transition","2026-04-14T08:36:44Z",4,"easy",152,5.03043792139244
"18",18,1,"Player #1","Gems of the same shape merge to make new gems. Colour and pattern doesn't seem to matter.","2026-04-14T08:34:35Z",1,"easy",400040,12.8993223208374
"19",18,1,"Player #1","Merging gems of the same shape produced new gems. Attempting to merge gems of differing shapes failed every time in my trials","2026-04-14T08:34:38Z",1,"easy",400040,12.8993223208374
"20",19,21,"Player #1","I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying. I didn't notice any patterns between the different shadings of shapes only the actual shapes themselves. Once you get a purple gem don't forget to bank it as any other combinations won't increase value!","2026-04-14T08:33:59Z",1,"medium",140,4.94875989037817
"21",19,21,"Player #1","Triangle + Diamond (can keep stacking more diamonds) Square + Circle (again keep stacking circles) REMEMBER to pick up in the order stated (not sure what'll happen the opposite way)","2026-04-14T08:34:02Z",1,"medium",140,4.94875989037817
"22",20,21,"Player #1","I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying.","2026-04-14T08:35:41Z",1,"medium",10,2.39789527279837
"23",20,21,"Player #1","the actual shapes themselves.","2026-04-14T08:35:49Z",1,"medium",10,2.39789527279837
"24",20,21,"Player #1","Once you get a purple gem don't forget to bank it as any other combinations won't increase value!","2026-04-14T08:35:53Z",1,"medium",10,2.39789527279837
"25",21,21,"Player #1",". Once you get a purple gem don't forget to bank it as any other combinations won't increase value!","2026-04-14T08:32:33Z",1,"medium",400202,12.8997271973555
"26",21,21,"Player #1","REMEMBER to pick up in the order stated","2026-04-14T08:32:41Z",1,"medium",400202,12.8997271973555
"27",21,22,"Player #2","if two shapes mix, keep mixing the new crystal with the same shape to create new colours!","2026-04-14T08:32:54Z",2,"medium",400202,12.8997271973555
"28",21,22,"Player #2","keep combing them,","2026-04-14T08:33:02Z",2,"medium",400202,12.8997271973555
"29",21,24,"Player #4","The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa.","2026-04-14T08:33:39Z",4,"medium",400202,12.8997271973555
"30",21,24,"Player #4","You can combine with colors or patterns that are different.","2026-04-14T08:34:06Z",4,"medium",400202,12.8997271973555
"31",22,1,"Player #1","Player #1\nTips & strategies:\n\nGems of the same shape merge to make new gems. Colour and pattern doesn't seem to matter.\nFusion rules & patterns:\n\nMerging gems of the same shape produced new gems. Attempting to merge gems of differing shapes failed every time in my trials","2026-04-14T08:35:47Z",1,"easy",310041,12.6444630511552
"32",23,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.","2026-04-14T08:36:06Z",1,"hard",1,0.693147180559945
"33",24,1,"Player #1","Gems of the same shape merge to make new gems. Colour and pattern doesn't seem to matter.","2026-04-14T08:36:00Z",1,"easy",400040,12.8993223208374
"34",24,1,"Player #1","Merging gems of the same shape produced new gems. Attempting to merge gems of differing shapes failed every time in my trials.","2026-04-14T08:36:06Z",1,"easy",400040,12.8993223208374
"35",24,3,"Player #3","start with one shape at a time and pair up all the same shapes first, for example the squares, once you get too purple colour cash it in for points, continue to do that with all the other shapes","2026-04-14T08:36:40Z",3,"easy",400040,12.8993223208374
"36",25,15,"Player #5","Striped triangle and striped diamond make an orange striped triangl","2026-04-14T08:37:50Z",5,"hard",130,4.87519732320115
"37",25,14,"Player #4","its all a bit random but circles seem to do better","2026-04-14T08:37:58Z",4,"hard",130,4.87519732320115
"38",25,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.","2026-04-14T08:38:37Z",1,"hard",130,4.87519732320115
"39",25,11,"Player #1","Diamonds and triangles go together. Circles and squares go together","2026-04-14T08:38:42Z",1,"hard",130,4.87519732320115
"40",26,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter","2026-04-14T08:37:07Z",1,"hard",40010,10.5969096952905
"41",26,11,"Player #1","Diamonds and triangles go together. Circles and squares go together","2026-04-14T08:37:10Z",1,"hard",40010,10.5969096952905
"42",26,12,"Player #2","similar seemed to make a higher score","2026-04-14T08:37:21Z",2,"hard",40010,10.5969096952905
"43",26,15,"Player #5","Both shapes had the same pattern","2026-04-14T08:37:51Z",5,"hard",40010,10.5969096952905
"44",26,15,"Player #5","Striped triangle and striped diamond make an orange striped triangle","2026-04-14T08:37:54Z",5,"hard",40010,10.5969096952905
"45",26,16,"Player #6","Fusing the only identical shapes","2026-04-14T08:38:01Z",6,"hard",40010,10.5969096952905
"46",27,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.","2026-04-14T08:37:35Z",1,"hard",0,0
"47",27,18,"Player #8","You have to harvested crystals move spaces by using arrow keys pick up crystals using spacebar to fuse crystals hold a crystal on top of another and press spacebar To harvest crystals press spacebar. This means you can earn energy points To drop crystals press D","2026-04-14T08:38:16Z",8,"hard",0,0
"48",27,15,"Player #5","Striped triangle and striped diamond make an orange striped triangle","2026-04-14T08:38:33Z",5,"hard",0,0
"49",28,22,"Player #2","Do not mindlessly click, try and figure out a pattern of what combines first. It is simpler than you think - if two shapes mix, keep mixing the new crystal with the same shape to create new colours!","2026-04-14T08:45:04Z",2,"medium",174,5.16478597392351
"50",28,21,"Player #1","Triangle + Diamond (can keep stacking more diamonds) Square + Circle (again keep stacking circles) REMEMBER to pick up in the order stated (not sure what'll happen the opposite way)","2026-04-14T08:45:16Z",1,"medium",174,5.16478597392351
"51",29,1,"Player #1","Gems of the same shape merge to make new gems. Colour and pattern doesn't seem to matter.","2026-04-14T08:42:01Z",1,"easy",400021,12.8992748245777
"52",29,1,"Player #1","Merging gems of the same shape produced new gems. Attempting to merge gems of differing shapes failed every time in my trials.","2026-04-14T08:42:06Z",1,"easy",400021,12.8992748245777
"53",29,3,"Player #3","start with one shape at a time and pair up all the same shapes first, for example the squares, once you get too purple colour cash it in for points, continue to do that with all the other shapes","2026-04-14T08:43:05Z",3,"easy",400021,12.8992748245777
"54",29,4,"Player #4","Match alike shapes with different shades each transition","2026-04-14T08:43:21Z",4,"easy",400021,12.8992748245777
"55",29,4,"Player #4","alike shapes lead to better values","2026-04-14T08:43:24Z",4,"easy",400021,12.8992748245777
"56",29,8,"Player #8","Shapes had to be the same for the recipes to fuse. Certain colours/patterns will not fuse.","2026-04-14T08:44:39Z",8,"easy",400021,12.8992748245777
"57",30,21,"Player #1","Triangle + Diamond (can keep stacking more diamonds) Square + Circle (again keep stacking circles) REMEMBER to pick up in the order stated (not sure what'll happen the opposite way)","2026-04-14T08:38:49Z",1,"medium",202011,12.2160823805595
"58",30,21,"Player #1","Once you get a purple gem don't forget to bank it as any other combinations won't increase value!","2026-04-14T08:39:04Z",1,"medium",202011,12.2160823805595
"59",31,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.","2026-04-14T08:45:50Z",1,"hard",40010,10.5969096952905
"60",31,11,"Player #1","Diamonds and triangles go together. Circles and squares go together","2026-04-14T08:45:55Z",1,"hard",40010,10.5969096952905
"61",32,21,"Player #1","I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying.","2026-04-14T08:54:51Z",1,"medium",10050,9.21542741102474
"62",33,21,"Player #1","I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying. I didn't notice any patterns between the different shadings of shapes only the actual shapes themselves. Once you get a purple gem don't forget to bank it as any other combinations won't increase value!","2026-04-14T08:45:00Z",1,"medium",1251,7.13249755166004
"63",33,22,"Player #2","Do not mindlessly click, try and figure out a pattern of what combines first. It is simpler than you think - if two shapes mix, keep mixing the new crystal with the same shape to create new colours!","2026-04-14T08:45:26Z",2,"medium",1251,7.13249755166004
"64",33,23,"Player #3","When you find a combination of two objects, make note of the pattern inside the newly created object, fuse the new object (the one that you're holding) with the same shaped object that allowed you to create the new object, but with a different pattern than the new object.","2026-04-14T08:45:56Z",3,"medium",1251,7.13249755166004
"65",33,24,"Player #4","The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa. Following this, choose a figure to start with and start matching with its geometric partner that has a different color or pattern. Example: I start with a square of stripes and combine it with a plain circle. Imagine that a plain square with different colour turns out, which I will combine with another circle with dots. And so on. When you can't combine more drop for later or collect depending on the moves you have left.","2026-04-14T08:46:39Z",4,"medium",1251,7.13249755166004
"66",33,25,"Player #5","Remember to drop off your colours (if its a good one) pressing space before you try and merge again, its very possible to go backwards in colour tiers I think so you can potentially lose points rather than accidentally merge into a lower colour. Always check out the hints for each block at the top, you can plan your moves this way before randomly trying to find out what works best.","2026-04-14T08:47:01Z",5,"medium",1251,7.13249755166004
